"locality","unit","family type","type of income","time","Family income"
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",96201
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",103404
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",97182
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",98973
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",102465
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",104828
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",112741
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",106174
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",116421
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",166692
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",147850
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",167985
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",162998
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",180313
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",156004
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",169857
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",151273
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",152349
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",149185
"Narsarmijit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",164439
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",220615
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",216486
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",221270
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",235551
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",257464
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",249332
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",234263
