,season,field_code,sellers_locality,last_catch_day
366,2013,MZ010,Innaarsuit,280
367,2013,MZ010,Naajaat,242
368,2013,MZ010,Nuuk,274
369,2013,MZ010,Upernavik,271
370,2013,MZ010,Upernavik Kujalleq,267
371,2013,MZ011,Innaarsuit,236
372,2013,NA008,Innaarsuit,284
373,2013,NA008,Nutaarmiut,230
374,2013,NA008,Upernavik,286
375,2013,NB007,Upernavik,271
376,2013,NB008,Innaarsuit,278
377,2013,NB008,Kullorsuaq,245
378,2013,NB008,Nutaarmiut,239
379,2013,NB008,Upernavik,286
380,2013,NB009,Upernavik,284
381,2013,ND007,"Ikerasaarsuk, Upernavik",284
382,2013,ND007,Innaarsuit,225
383,2013,ND007,Kangersuatsiaq,265
384,2013,ND007,Kullorsuaq,291
385,2013,ND007,Nutaarmiut,291
386,2013,ND007,Upernavik,270
387,2013,ND008,Kangersuatsiaq,264
388,2013,ND008,Kullorsuaq,267
389,2013,ND008,Nutaarmiut,273
390,2013,ND008,Upernavik,291
391,2013,ND009,Upernavik,281
392,2013,NG006,Upernavik,235
393,2013,NG007,Kullorsuaq,208
394,2013,NG007,Upernavik,239
395,2013,NH005,Upernavik,235
396,2013,NH006,Upernavik,230
397,2013,NH007,Upernavik,217
398,2013,NH008,Upernavik,214
399,2013,NM003,Kullorsuaq,287
400,2013,NM004,Kullorsuaq,193
401,2013,NM005,Kullorsuaq,230
402,2013,NM006,Kullorsuaq,216
403,2013,NM006,Upernavik,242
404,2013,NN003,Kullorsuaq,284
405,2013,NN004,Kullorsuaq,286
406,2013,NN004,Upernavik,287
407,2013,NN005,Kullorsuaq,287
408,2013,NN005,Upernavik,274
409,2013,NN006,Kullorsuaq,287
410,2013,NN006,Kulusuk,144
411,2013,NN006,Naajaat,144
412,2013,NN006,Upernavik,278
413,2013,NN007,Kullorsuaq,287
414,2013,NN007,Upernavik,278
415,2013,PP390,Qaanaaq,235
416,2013,PP391,Qaanaaq,225
417,2013,PR396,Qaanaaq,300
418,2013,PS394,Qaanaaq,215
419,2013,PS395,Qaanaaq,319
420,2013,PS395,Siorapaluk,333
421,2013,PS396,Qaanaaq,323
422,2013,PS396,Siorapaluk,322
423,2013,PS404,Qaanaaq,305
424,2013,PS404,Qeqertat,229
425,2013,PS404,Siorapaluk,258
426,2013,PS405,Qaanaaq,225
427,2013,PS405,Qeqertat,270
428,2013,PS405,Siorapaluk,295
429,2013,PT398,Qaanaaq,294
430,2013,PT404,Qaanaaq,200
431,2013,PT404,Qeqertat,200
432,2013,PT404,Siorapaluk,186
433,2013,PT405,Qaanaaq,308
434,2013,PT405,Qeqertat,302
435,2013,PT405,Siorapaluk,309
436,2013,PT406,Qaanaaq,224
437,2013,PT406,Qeqertat,329
438,2013,PT406,Siorapaluk,223
439,2014,KE019,Itilleq,216
440,2014,KH020,Sarfannguit,221
441,2014,KH021,Sarfannguit,242
442,2014,KH021,Sisimiut,227
443,2014,KS018,Attu,214
444,2014,KT018,Kangaatsiaq,209
445,2014,KT019,Iginniarfik,208
446,2014,KT019,"Ikerasaarsuk, Kangaatsiaq",204
447,2014,KT019,Kangaatsiaq,212
448,2014,KT020,Iginniarfik,211
449,2014,KT020,"Ikerasaarsuk, Kangaatsiaq",182
450,2014,KT020,Kangaatsiaq,194
451,2014,KV019,"Ikerasaarsuk, Kangaatsiaq",212
452,2014,KV019,Kangaatsiaq,207
453,2014,KV020,Iginniarfik,206
454,2014,KV020,"Ikerasaarsuk, Kangaatsiaq",206
455,2014,KX020,Kangaatsiaq,237
456,2014,LA026,Saattut,242
457,2014,LB022,Akunnaaq,231
458,2014,LB023,Akunnaaq,259
459,2014,LB024,Akunnaaq,259
460,2014,LB025,Ikamiut,285
461,2014,LB028,Qasigiannguit,255
462,2014,LD022,Aasiaat,226
463,2014,LD022,Akunnaaq,234
464,2014,LD023,Akunnaaq,261
465,2014,LD026,Qasigiannguit,214
