season,field_code,ice_season_length
2014,MF021,95
2014,MG018,0
2014,MG019,129
2014,MG020,38
2014,MG020,0
2014,MG021,79
2014,MG021,141
2014,MG021,67
2014,MG021,58
2014,MG021,95
2014,MG022,57
2014,MG022,89
2014,MG022,5
2014,MG022,55
2014,MG022,0
2014,MG022,112
2014,MH006,0
2014,MM004,0
2014,MM007,7
2014,MM010,81
2014,MM011,0
2014,MM011,77
2014,MM012,0
2014,MM012,10
2014,MM012,65
2014,MN003,0
2014,MN012,24
2014,MN013,10
2014,MS007,1
2014,MS008,15
2014,MT007,35
2014,MT008,63
2014,MT009,7
2014,MT010,51
2014,MT015,0
2014,MV007,5
2014,MV009,0
2014,MV009,39
2014,MV010,91
2014,MV011,24
2014,MV012,19
2014,MV013,45
2014,MX008,45
2014,MX008,4
2014,MX009,130
2014,MX009,5
2014,MX009,108
2014,MX009,46
2014,MX010,0
2014,MX011,31
2014,MX011,0
2014,MZ006,0
2014,MZ007,0
2014,MZ008,136
2014,MZ008,73
2014,MZ008,10
2014,MZ008,94
2014,MZ008,76
2014,MZ009,129
2014,MZ009,0
2014,MZ009,135
2014,MZ009,98
2014,MZ009,7
2014,MZ010,225
2014,MZ010,61
2014,MZ010,124
2014,MZ010,54
2014,MZ010,7
2014,MZ011,82
2014,MZ011,38
2014,MZ011,62
2014,MZ011,9
2014,MZ012,0
2014,NA004,0
2014,NA005,0
2014,NA008,4
2014,NA008,128
2014,NA008,13
2014,NA009,12
2014,NA009,0
2014,NB007,78
2014,NB008,0
2014,NB008,122
2014,NB009,0
2014,ND007,121
2014,ND007,7
2014,ND007,137
2014,ND007,137
2014,ND007,33
2014,ND008,0
2014,ND008,17
2014,ND008,16
2014,ND008,27
2014,ND008,122
2014,ND008,7
2014,ND009,0
2014,ND009,40
2014,ND010,0
2014,ND010,0
2014,NG005,0
2014,NG006,33
2014,NG007,34
2014,NH004,53
2014,NH005,42
2014,NH006,53
2014,NH007,34
2014,NM003,168
2014,NM003,71
2014,NM004,107
2014,NM005,0
2014,NM006,9
2014,NM007,5
2014,NM008,0
2014,NN003,88
2014,NN004,116
2014,NN004,12
2014,NN005,154
2014,NN005,0
2014,NN006,147
2014,NN006,56
2014,NN007,84
2014,NZ009,0
2014,PR393,0
2014,PR395,77
2014,PR396,156
2014,PR397,59
2014,PR398,3
2014,PR406,0
2014,PS394,10
2014,PS395,164
2014,PS395,45
2014,PS395,87
2014,PS396,157
2014,PS396,42
2014,PS397,7
2014,PS405,159
2014,PS405,90
2014,PT398,100
2014,PT401,0
2014,PT404,0
2014,PT404,0
2014,PT405,153
2014,PT405,105
2014,PT405,0
2014,PT405,91
2014,PT406,80
2014,PT406,0
2015,LB023,0
2015,LG028,72
2015,LG029,0
2015,LG030,161
2015,LG030,67
2015,LG031,57
2015,LH019,8
2015,LJ019,0
2015,LN025,9
2015,LN026,1
2015,LN027,11
2015,LN027,0
2015,LN028,3
2015,LP025,5
2015,LP027,0
2015,LP028,17
2015,LT026,0
2015,LT026,0
2015,LT027,107
2015,LT028,84
2015,LT028,5
2015,LT029,27
2015,LV024,13
2015,LV024,92
2015,LV025,63
2015,LV025,92
2015,LV025,77
2015,LV026,91
2015,LV026,22
2015,LV026,65
2015,LV027,122
2015,LV027,11
2015,LV027,28
2015,LV027,45
2015,LV027,18
2015,LV027,62
2015,LV027,70
2015,LV028,10
2015,LV028,10
2015,LV028,13
2015,LV028,0
2015,LV028,0
2015,LV029,59
2015,LV029,0
2015,LV029,49
2015,LX023,65
2015,LX023,0
2015,LX023,93
2015,LX024,37
2015,LX024,79
2015,LX024,6
2015,LX024,95
2015,LX024,0
2015,LX024,24
2015,LX024,151
2015,LX025,88
2015,LX025,0
2015,LX025,82
2015,LX026,37
2015,LX026,114
2015,LX026,95
2015,LX027,97
2015,LX027,44
2015,LX027,0
2015,LX027,117
2015,LX027,97
2015,LX028,0
2015,LX028,79
2015,LX028,97
2015,LX028,27
2015,LX029,3
2015,LX029,8
2015,LZ022,8
2015,LZ022,0
2015,LZ023,14
2015,LZ024,23
2015,LZ025,0
2015,LZ025,0
2015,LZ025,119
2015,LZ026,16
2015,LZ026,22
2015,LZ026,142
2015,LZ026,116
2015,LZ026,0
2015,LZ027,133
2015,LZ028,14
2015,LZ028,63
2015,LZ028,0
2015,LZ028,0
2015,LZ029,64
2015,MA020,26
2015,MA024,0
2015,MA024,29
2015,MA024,117
2015,MA024,72
2015,MA025,0
2015,MA025,105
2015,MA025,0
2015,MA026,137
2015,MA026,54
2015,MA027,130
2015,MA027,6
2015,MA028,19
2015,MB023,0
2015,MB024,111
2015,MB025,137
2015,MB026,119
2015,MB026,1
2015,MB027,77
2015,MB028,0
2015,MD024,0
2015,MF019,46
2015,MF020,77
2015,MF020,40
2015,MF021,61
2015,MG019,105
2015,MG019,0
2015,MG020,123
2015,MG021,114
2015,MG022,6
2015,MG023,0
2015,MM011,35
2015,MM011,77
2015,MM012,0
2015,MM012,30
2015,MM012,62
2015,MN006,0
2015,MN006,0
2015,MT010,75
2015,MV008,79
2015,MV008,0
2015,MV009,0
2015,MV009,0
2015,MV009,49
2015,MV010,0
2015,MV010,69
2015,MV011,20
2015,MV012,32
2015,MV013,42
2015,MX008,26
2015,MX009,78
2015,MX009,61
2015,MX009,0
2015,MX009,42
