seasonal_year,sellers_locality,ice-only,majority-ice,majority-water,water-only,"Couples, total","Families, total","Single people, total"
2017,Sarfannguit,,,,257345.71000000002,323526,237242,154554
2017,Savissivik,6403.645,,,4705.35,197837,137717,95280
2017,Sermiligaaq,,,,100284.25,258298,158919,90595
2017,Siorapaluk,30219.75,,,,212642,178628,144614
2017,Sisimiut,,,,106574.33,412763,264035,170500
2017,Tasiilaq,,,,8170.0,340493,197160,137813
2017,Ukkusissat,160727.07,117136.34,292249.35,80691.565,309142,232775,138590
2017,Upernavik,28563.76,89129.92499999999,132158.625,43251.3,334769,219779,125353
2017,Upernavik Kujalleq,,130100.81,118170.24,58586.26,229144,150147,98009
2017,Uummannaq,74410.28,201939.45500000002,185493.15,13546.300000000001,370523,237204,142726
2018,Aasiaat,,,,37297.0,326898,199796,137156
2018,Akunnaaq,,,,20547.0,288211,166872,119203
2018,Arsuk,,,,11149.465,293761,215171,143726
2018,Atammik,,,,126956.0,285167,194804,108287
2018,Attu,,,,28208.75,266979,180153,106947
2018,Igaliku,,,,43671.5,308377,178087,112942
2018,Iginniarfik,,,,6939.0599999999995,213672,139997,77374
2018,Ikamiut,,,50555.729999999996,25083.0,261070,198804,118748
2018,Ikerasak,71537.5,220324.27500000002,251054.35,28904.0,274086,192567,112558
2018,Ilimanaq,,,,161290.28,336050,213725,155474
2018,Ilulissat,3383.8999999999996,16460.5,267298.575,175863.86,386040,246562,153788
2018,Innaarsuit,44494.375,264470.01,231058.64,7441.5,349046,242917,123522
2018,Kangaamiut,,,,27296.25,293460,202845,143058
2018,Kangaatsiaq,,,,33510.0,271281,183441,115258
2018,Kangerluk,,,,26654.0,..,152126,123377
2018,Kangersuatsiaq,,56697.75,178231.06,57004.15,222678,149278,104600
2018,Kapisillit,,,,12320.0,253420,158022,117138
2018,Kitsissuarsuit,,,,97359.8,289232,199233,109234
2018,Kullorsuaq,71620.345,131417.21,74871.5,23199.475000000002,268979,183790,107215
2018,Kulusuk,,,,64854.5,260555,180009,124460
2018,Maniitsoq,,,,17076.0,375432,232929,159851
2018,Naajaat,54709.25,52124.03,185279.495,3933.0,257960,149895,85056
2018,Nanortalik,,,19858.45,31981.63,318155,196633,137467
2018,Narsaq,,,,29045.0,324011,197744,130648
2018,Narsarsuaq,,,,804.0,329051,242021,207209
2018,Niaqornaarsuk,,,,31900.25,251474,158203,95596
2018,Niaqornat,,270228.5,139554.0,24850.925,228618,161263,100032
2018,Nutaarmiut,,110011.60999999999,138412.525,,273711,251797,220491
2018,Nuuk,,,189600.45,178651.5,493213,307595,206772
