sellers_locality,seasonal_year,vessel_type,ppk
Ilulissat,2014,water,16.996112877656106
Ilulissat,2015,ice,22.49767981438515
Ilulissat,2015,water,17.476285529233053
Ilulissat,2016,ice,23.065246212121213
Ilulissat,2016,water,17.247781242400468
Ilulissat,2017,ice,22.54149174749637
Ilulissat,2017,water,16.605932133625014
Ilulissat,2018,ice,23.213130296508837
Ilulissat,2018,water,20.274481887479034
Ilulissat,2019,ice,24.585742105222252
Ilulissat,2019,water,21.596180650141566
Ilulissat,2020,ice,20.458204334365327
Ilulissat,2020,water,19.269398256178434
Ilulissat,2021,ice,21.707579573671723
Ilulissat,2021,water,20.197383880272024
Ilulissat,2022,ice,23.76534722222222
Ilulissat,2022,water,21.01022211571387
Innaarsuit,2012,ice,13.014349775784753
Innaarsuit,2012,water,12.738261738261738
Innaarsuit,2013,ice,13.020851433536055
Innaarsuit,2013,water,14.946171341925702
Innaarsuit,2014,ice,16.50117785630153
Innaarsuit,2014,water,16.27071129707113
Innaarsuit,2015,ice,22.356890459363957
Innaarsuit,2015,water,19.611593024600435
Innaarsuit,2016,ice,15.681068923144515
Innaarsuit,2016,water,16.828006817284148
Innaarsuit,2017,ice,15.691902216737116
Innaarsuit,2017,water,16.79406757680785
Innaarsuit,2018,ice,17.330976863753214
Innaarsuit,2018,water,18.283465769361744
Innaarsuit,2019,ice,19.963814340343088
Innaarsuit,2019,water,20.56893092701799
Innaarsuit,2020,ice,18.232183257918553
Innaarsuit,2020,water,18.390329759523574
Innaarsuit,2021,ice,19.94332627118644
Innaarsuit,2021,water,21.512801130114855
Innaarsuit,2022,ice,21.98023176550784
Innaarsuit,2022,water,22.774507772421014
Itilleq,2012,water,5.735294117647059
Itilleq,2013,ice,6.250016583747926
Itilleq,2013,water,12.351403371392303
Itilleq,2014,ice,8.0
Itilleq,2014,water,11.70388349514563
Itilleq,2015,water,10.035715999662136
Itilleq,2016,water,7.314348659129305
Itilleq,2017,ice,8.0
Itilleq,2017,water,7.6761194029850754
Itilleq,2018,water,7.623104784398694
Itilleq,2019,water,8.666544885279981
Itilleq,2020,water,7.970996788078811
Itilleq,2021,water,11.610148475984218
Itilleq,2022,water,8.612391434949705
Kangaamiut,2012,water,10.563682557719394
Kangaamiut,2013,water,10.074041308477137
Kangaamiut,2014,water,10.39139977778563
Kangaamiut,2015,water,9.996564523557547
Kangaamiut,2016,water,8.368786886801404
Kangaamiut,2017,ice,6.0
Kangaamiut,2017,water,8.814107868774633
Kangaamiut,2018,water,8.26889951804617
Kangaamiut,2019,water,9.199719498599116
Kangaamiut,2020,water,13.115273844811208
Kangaamiut,2021,water,12.324357578041717
Kangaamiut,2022,water,9.919712194013233
Kangaatsiaq,2012,water,12.60813271539493
Kangaatsiaq,2013,water,9.099435492232537
Kangaatsiaq,2014,ice,7.0
Kangaatsiaq,2014,water,10.968816561715276
Kangaatsiaq,2015,water,12.69103328594104
Kangaatsiaq,2016,water,8.855014770382983
Kangaatsiaq,2017,water,9.568824051550196
Kangaatsiaq,2018,water,16.210434058944312
Kangaatsiaq,2019,water,16.64150551384232
Kangaatsiaq,2020,ice,24.068181818181817
Kangaatsiaq,2020,water,16.07088854275474
Kangaatsiaq,2021,ice,6.250099023934641
Kangaatsiaq,2021,water,18.284994590737057
Kangaatsiaq,2022,ice,11.25
Kangaatsiaq,2022,water,18.290353074276332
Kangerluk,2012,water,13.818181818181818
Kangerluk,2013,water,10.685779816513762
Kangerluk,2014,water,16.601067887109075
Kangerluk,2015,water,18.21551724137931
Kangerluk,2016,ice,9.53125
Kangerluk,2016,water,17.583333333333332
Kangerluk,2017,water,14.498680470957542
Kangerluk,2018,water,12.0
Kangerluk,2019,water,22.90909090909091
Kangerluk,2020,water,14.458333333333334
Kangerluk,2021,water,15.508928571428571
Kangerluk,2022,water,20.279411764705884
Kangerlussuaq,2017,water,7.75
Kangerlussuaq,2018,water,9.5
Kangerlussuaq,2019,water,8.2
Kangerlussuaq,2020,water,14.125
Kangerlussuaq,2021,water,22.0
Kangerlussuaq,2022,ice,17.973684210526315
Kangerlussuaq,2022,water,8.0
Kangersuatsiaq,2012,ice,13.158730158730158
Kangersuatsiaq,2012,water,12.842857142857143
Kangersuatsiaq,2013,ice,12.818181818181818
Kangersuatsiaq,2013,water,15.511864406779662
Kangersuatsiaq,2014,ice,16.488372093023255
Kangersuatsiaq,2014,water,16.274122807017545
Kangersuatsiaq,2015,ice,22.861344537815125
Kangersuatsiaq,2015,water,20.180650281618025
Kangersuatsiaq,2016,ice,16.031246717932074
Kangersuatsiaq,2016,water,16.822813018409576
Kangersuatsiaq,2017,ice,15.690071137737446
Kangersuatsiaq,2017,water,17.460210537656355
Kangersuatsiaq,2018,ice,17.020325203252032
Kangersuatsiaq,2018,water,19.629071715718084
Kangersuatsiaq,2019,ice,19.989583333333332
Kangersuatsiaq,2019,water,20.920625
Kangersuatsiaq,2020,ice,16.850556329341497
Kangersuatsiaq,2020,water,19.591935861438362
Kangersuatsiaq,2021,ice,18.25
Kangersuatsiaq,2021,water,21.17357776977678
Kangersuatsiaq,2022,ice,21.74074074074074
Kangersuatsiaq,2022,water,23.402269095557685
Kapisillit,2012,water,20.647058823529413
Kapisillit,2013,water,7.4868421052631575
Kapisillit,2014,water,16.710526315789473
Kapisillit,2015,water,14.539473684210526
Kapisillit,2016,water,15.206521739130435
Kapisillit,2017,water,12.236764705882353
Kapisillit,2018,water,12.666666666666666
Kapisillit,2019,water,9.539529730255552
Kapisillit,2020,water,18.85
Kapisillit,2021,water,17.476190476190474
Kapisillit,2022,water,15.65
Kitsissuarsuit,2012,water,18.76587401867451
Kitsissuarsuit,2013,water,18.22128712871287
Kitsissuarsuit,2014,water,18.25361570247934
Kitsissuarsuit,2015,water,19.211479239672933
Kitsissuarsuit,2016,water,21.85328004481968
Kitsissuarsuit,2017,water,22.019755935552844
Kitsissuarsuit,2018,water,25.43609958506224
Kitsissuarsuit,2019,water,24.466856722293613
Kitsissuarsuit,2020,ice,21.0
Kitsissuarsuit,2020,water,19.594462093788277
Kitsissuarsuit,2021,water,21.432979561581256
Kitsissuarsuit,2022,water,22.984603754435916
Kullorsuaq,2012,ice,13.681375730045424
Kullorsuaq,2012,water,12.667493796526054
Kullorsuaq,2013,ice,13.863568215892053
Kullorsuaq,2013,water,16.54365733113674
Kullorsuaq,2014,ice,16.297153024911033
Kullorsuaq,2014,water,16.16321243523316
Kullorsuaq,2015,ice,16.85772659732541
Kullorsuaq,2015,water,19.235966735966738
Kullorsuaq,2016,ice,15.69122007609607
Kullorsuaq,2016,water,16.998398883903224
Kullorsuaq,2017,ice,15.674992335534602
Kullorsuaq,2017,water,16.993612776625586
Kullorsuaq,2018,ice,16.832160376677262
Kullorsuaq,2018,water,20.434613422590758
Kullorsuaq,2019,ice,19.795383655645665
Kullorsuaq,2019,water,20.169477707006372
Kullorsuaq,2020,ice,18.042313664596275
Kullorsuaq,2020,water,18.380070575710587
Kullorsuaq,2021,ice,18.0
Kullorsuaq,2021,water,20.42289096561339
Kullorsuaq,2022,ice,23.532084495815067
Kullorsuaq,2022,water,23.190753763884437
Kulusuk,2013,ice,15.0
Kulusuk,2015,water,7.857142857142857
Kulusuk,2016,water,4.5
Kulusuk,2017,water,10.303571428571429
Kulusuk,2018,water,12.358024691358025
Kulusuk,2019,water,13.1875
Kulusuk,2020,water,11.44811320754717
Kulusuk,2021,water,9.416666666666666
Kulusuk,2022,water,7.988888888888889
Kuummiut,2012,water,9.294050408868365
Kuummiut,2013,water,6.08355781926295
Kuummiut,2014,water,6.022147074695963
Kuummiut,2015,water,7.5
Kuummiut,2016,water,16.037837837837838
Kuummiut,2017,water,13.471281296023564
Kuummiut,2018,water,14.983790523690773
Kuummiut,2019,water,12.960577673692427
Kuummiut,2020,water,11.477031802120141
Kuummiut,2021,water,9.595954356846473
Kuummiut,2022,water,10.163671373555841
Maniitsoq,2012,water,9.880539063537107
Maniitsoq,2013,water,8.958684966110052
Maniitsoq,2014,water,10.333222591362127
Maniitsoq,2015,water,9.417059584527124
Maniitsoq,2016,water,7.740545275104861
Maniitsoq,2017,water,8.06353322528363
Maniitsoq,2018,water,7.894483306111319
Maniitsoq,2019,water,8.374518123223007
Maniitsoq,2020,water,8.619443885027156
Maniitsoq,2021,water,10.012502762659826
Maniitsoq,2022,water,9.263364385527781
Naajaat,2012,ice,13.600550964187327
Naajaat,2012,water,12.962264150943396
Naajaat,2013,ice,13.505928853754941
Naajaat,2013,water,15.563076923076924
Naajaat,2014,ice,16.5
Naajaat,2014,water,16.208333333333332
Naajaat,2015,ice,22.058441558441558
Naajaat,2015,water,20.554474708171206
Naajaat,2016,ice,15.674990607037767
Naajaat,2016,water,17.020658473638157
Naajaat,2017,ice,15.674993588329654
Naajaat,2017,water,17.11088027501491
Naajaat,2018,ice,17.173846153846153
Naajaat,2018,water,19.527422973580382
Naajaat,2019,ice,19.773322970639033
Naajaat,2019,water,20.610395530881192
Naajaat,2020,ice,17.621328511151294
Naajaat,2020,water,19.840875061506768
Naajaat,2021,ice,19.254901960784313
Naajaat,2021,water,21.373693914224877
Naajaat,2022,ice,21.884615384615383
Naajaat,2022,water,23.33196314600286
Nanortalik,2012,water,13.416666666666666
Nanortalik,2013,water,13.352995747463273
Nanortalik,2014,water,14.163507109004739
Nanortalik,2015,water,16.53688989784336
Nanortalik,2016,water,18.325746251355362
Nanortalik,2017,water,19.283376724282206
Nanortalik,2018,water,18.595927125733144
Nanortalik,2019,water,13.971353940509642
Nanortalik,2020,water,11.916682601149875
Nanortalik,2021,water,9.696849530428436
Nanortalik,2022,water,10.456787443821586
Napasoq,2012,water,11.835086963655757
Napasoq,2013,water,12.363709677419354
Napasoq,2014,water,13.434322033898304
Napasoq,2015,water,13.248670212765957
Napasoq,2016,water,7.293589743589743
Napasoq,2017,water,8.257638888888888
Napasoq,2018,water,8.41470621300797
Napasoq,2019,water,8.024175824175824
Napasoq,2020,water,14.292397448262435
Napasoq,2021,water,17.790557136896755
Napasoq,2022,water,8.781009166421798
Narsaq,2012,water,12.844078291404399
Narsaq,2013,water,14.363346344808862
Narsaq,2014,water,16.193907875185737
Narsaq,2015,water,16.57094832945555
Narsaq,2016,water,15.24004159805095
Narsaq,2017,water,11.25669343253605
Narsaq,2018,water,9.184805932052216
Narsaq,2019,water,7.886831902772149
Narsaq,2020,water,11.768280720140053
Narsaq,2021,water,10.550615615209775
Narsaq,2022,water,11.017885691694023
Narsaq Kujalleq,2014,water,17.0
Narsaq Kujalleq,2015,water,17.07777777777778
Narsaq Kujalleq,2016,water,20.158823529411762
Narsaq Kujalleq,2017,water,18.4998075998076
Narsaq Kujalleq,2018,water,25.0
Narsaq Kujalleq,2019,water,10.875
Narsaq Kujalleq,2020,water,16.333333333333332
Narsarsuaq,2018,water,4.0
Narsarsuaq,2020,water,12.439877362202456
Niaqornaarsuk,2012,water,14.648216246962537
Niaqornaarsuk,2013,water,9.246808519438254
Niaqornaarsuk,2014,water,8.955213903743315
Niaqornaarsuk,2015,water,9.287383210410251
Niaqornaarsuk,2016,water,8.746183825636434
Niaqornaarsuk,2017,water,8.155978030877556
Niaqornaarsuk,2018,water,10.700010512682514
Niaqornaarsuk,2019,water,13.694111563845013
Niaqornaarsuk,2020,water,15.175063697731698
Niaqornaarsuk,2021,water,15.821021355228094
Niaqornaarsuk,2022,water,15.10172814823114
Niaqornat,2012,ice,13.354545454545455
Niaqornat,2012,water,11.541033434650457
Niaqornat,2013,ice,14.068181818181818
Niaqornat,2013,water,12.237091031815295
Niaqornat,2014,ice,15.260416666666666
Niaqornat,2014,water,15.253623188405797
Niaqornat,2015,ice,13.905882352941177
Niaqornat,2015,water,17.496654208757548
Niaqornat,2016,ice,18.057142857142857
Niaqornat,2016,water,19.02256933210824
Niaqornat,2017,ice,20.03724826096556
Niaqornat,2017,water,19.357395398379026
Niaqornat,2018,ice,18.1
Niaqornat,2018,water,17.337681159420292
Niaqornat,2019,ice,19.264150943396228
Niaqornat,2019,water,18.769231167383342
Niaqornat,2020,ice,21.0
Niaqornat,2020,water,20.987164413090337
Niaqornat,2021,ice,23.653846153846153
Niaqornat,2021,water,22.25939726806481
Niaqornat,2022,ice,25.0
Niaqornat,2022,water,19.19092273417318
Nutaarmiut,2012,ice,13.214285714285714
Nutaarmiut,2012,water,12.163636363636364
Nutaarmiut,2013,ice,13.246575342465754
Nutaarmiut,2013,water,14.696969696969697
Nutaarmiut,2014,ice,16.5
Nutaarmiut,2014,water,15.616438356164384
Nutaarmiut,2015,ice,19.387218045112782
Nutaarmiut,2015,water,20.43548387096774
Nutaarmiut,2016,ice,15.897130658267882
Nutaarmiut,2016,water,17.131119628743676
Nutaarmiut,2017,ice,15.674992895164698
Nutaarmiut,2017,water,17.149995422402
Nutaarmiut,2018,ice,16.518099547511312
Nutaarmiut,2018,water,19.91170999205074
Nutaarmiut,2019,ice,19.990243902439026
Nutaarmiut,2019,water,20.108121212121212
Nutaarmiut,2020,ice,18.0
Nutaarmiut,2020,water,18.76677869694862
Nutaarmiut,2021,ice,18.91186440677966
Nutaarmiut,2021,water,21.903411764705883
Nutaarmiut,2022,ice,22.554585152838428
Nutaarmiut,2022,water,23.186915887850468
